oficina,departamento,horario_atencion,dias_de_apertura,dias_de_cierre,direccion,indicativo,telefono,numero_telefonico_no_1,numero_telefonico_no_2,numero_telefonico_no_3,numero_telefonico_no_4,numero_telefonico_no_5,numero_telefonico_no_6,column14,column15,column16,column17
MOMPOX,BOLÍVAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 2 NO.19-01 PALACIO MUNICIPAL,95,6855477 - 6855471,6855477,6855471,,,,,,,,
FLORENCIA,CAQUETÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 13 A NO. 11 - 15 Y CALLE 13 A NO. 13 -14,98,4351990 - 4351971 - 4351986 - 4351985 - 4352420,4351990,4351971,4351986,4351985,4352420,,,,,
VISTAHERMOSA,META,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 9 NO.11-37    CALLE 9 NO. 2-77,98,6518209 - 6518208,6518209,6518208,,,,,,,,
FOMEQUE,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 4 NO 4-55,91,8485470 - 8485018 - 8485472 - 8485470 - 8485009,8485470,8485018,8485472,8485470,8485009,,,,,
PANDI,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA.4 NO.3-42,91,8419079 - 8419011 - 8419427,8419079,8419011,8419427,,,,,,,
SOCOTA,BOYACÁ,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CARRERA 3 NO. 3 -17,98,7820034 -  782 00 99,7820034,7820099,,,,,,,,
EL BAGRE,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 48 NO. 50-33,94,8370384 - 8372359 - 8372947,8370384,8372359,8372947,,,,,,,
MEDINA,CUNDINAMARCA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 13 NO.6-61,98,6722875 -6626235 -6621090,6722875,6626235,6621090,,,,,,,
SALDAÑA,TOLIMA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 12 NO.14A-15,98,2266151 - 2266167 - 2266319 - 2266392 - 2266910,2266151,2266167,2266319,2266392,2266910,,,,,
PIEDECUESTA,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 6 NO. 5-98/86,97,6543555 - 6550069 - 6550068,6543555,6550069,6550068,,,,,,,
LORICA,CÓRDOBA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 1 NO.6-16,94,7739070 - 7739075 - 7735376 - 7735372,7739070,7739075,7735376,7735372,,,,,,
CIENAGA,MAGDALENA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 12 NO. 11 - 52 BARRIO CENTRO,95,7760402 - 424889 - 4240890 - 4240360 - 4100911,7760402,7424889,4240890,4240360,4100911,,,,,
LA MONTAÑITA,CAQUETÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA QUINTA- FRENTE AL PARQUE PRINCIPAL,98,4300091 - 4300093,4300091,4300093,,,,,,,,
PROVIDENCIA,ARCHIPIÉLAGO DE SAN ANDRÉS,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,EDIFICIO AURY -PRIMER PISO -   SANTA ISABEL,98,5148888 - 5148117,5148888,5148117,,,,,,,,
MANI,CASANARE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 18 NO. 3-25 PARQUE PRINCIPAL - MANI -CASANARE,98,6381014 - 6381013 - 6381012,6381014,6381013,6381012,,,,,,,
OTANCHE,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 3 NO. 6 - 07,98,7259184,7259184,,,,,,,,,
POLICARPA,NARIÑO,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 3 NO. 2-60 CENTRO ADMINISTRATIVO MUNICIPAL  BARRIO PUERTO NUEVO ETAPA NO. 2,92,7265596 - 7265589,7265596,7265589,,,,,,,,
CHINACOTA,NORTE DE SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 3 NO. 3-56 ESQUINA,97,8563157 - 5864169 - 5864407 - 5865702 - 5864802,8563157,5864169,5864407,5865702,5864802,,,,,
BELALCAZAR,CALDAS,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 5 NO. 14 - 24,96,8601497 - 8601032 - 8601041 - 8601300 - 8601034,8601497,8601032,8601041,8601300,8601034,,,,,
SAN ROQUE,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA.20 NO.20-47/51 PAL.MPAL.,94,8656547 - 8656705,8656547,8656705,,,,,,,,
NECOCLI,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 50 NO. 49/60/62/64/66/68,94,8214722 - 8214511,8214722,8214511,,,,,,,,
TUMACO,NARIÑO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 14 NO.9-20 - CALLE SUCRE,92,7277097 - 7277099 - 7277098 - 7277096,7277097,7277099,7277098,7277096,,,,,,
ORITO,PUTUMAYO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,BARRIO MARCO FIDEL SUAREZ CALLE 8,98,4291380 - 4292131 - 4292130,4291380,4292131,4292130,,,,,,,
GUAPI,CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 2 NO.5-33 Y 5-37,92,8400138 - 8400696 - 8400149 - 8400289 - 8400902,8400138,8400696,8400149,8400289,8400902,,,,,
SAN DIEGO,CESAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE  3  Nº. 9-35,95,5798128 - 5798020,5798128,5798020,,,,,,,,
PALMIRA,VALLE DEL CAUCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 30 NO.26-62,92,2735450 - 2735370 - 2734858 - 2757476,2735450,2735370,2734858,2757476,,,,,,
GUARANDA,SUCRE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 5 NO. 6 - 56 GUARANDA,95,2911012 - 2911005,2911012,2911005,,,,,,,,
EL COLEGIO,CUNDINAMARCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 6 NO. 9 – 50 / 58,91,8475348 - 8475070 - 8475251,8475348,8475070,8475251,,,,,,,
CORDOBA,NARIÑO,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 3 CON CARRERA 3B NO. 3 - 15 PARQUE PRINCIPAL,92,,,,,,,,,,,
BARAYA,HUILA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 2C NO.6-64,98,8788507 - 878 85 03,8788507,8788503,,,,,,,,
PURIFICACION,TOLIMA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA 4 NO 7 - 13,98,2280270 - 2281032 - 2280110 - 2281024,2280270,2281032,2280110,2281024,,,,,,
CHISCAS,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 NO.4-01,98,7888214 - 7888215,7888214,7888215,,,,,,,,
BOGOTA CENTRO DE PAGOS RECAUDOS Y DEPOSITOS JUDICIALES CHAPINERO,BOGOTÁ D.C,8:00 AM A 3:30 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 13 NO.63-75/71,91,3103492,3103492,,,,,,,,,
VILLACARO,NORTE DE SANTANDER,7.00 A.M. A 2:00 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 2 N° 5-03 BARRIO EL CENTRO,97,5566013,5566013,,,,,,,,,
LA CALERA,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 7 NO 3-40/46,91,7266116 - 8600023 - 7266548 - 8600210 - 8600022,7266116,8600023,7266548,8600210,8600022,,,,,
GUAYABAL,TOLIMA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA.6 NO.5-63,98,2531209 - 2530311 - 2530215 - 2530234,2531209,2530311,2530215,2530234,,,,,,
CERETE,CÓRDOBA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 13 A NO.9-65,94,7746510 - 7747415 - 7746171,7746510,7747415,7746171,,,,,,,
YARUMAL,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA.20 NO.20-43,94,8538507 - 8872150 - 8870223 - 8871322 - 8872150,8538507,8872150,8870223,8871322,8872150,,,,,
BECERRIL,CESAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 7 CALLE 10 ESQUINA. BARRIO PALMARITOS NUEVO PALACIO MUNICIPAL,95,5768165 - 5768171 - 5768163 - 5768172,5768165,5768171,5768163,5768172,,,,,,
GIGANTE,HUILA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA.4 CALLE 4 ESQUINA,98,8325633 - 8325057 - 8325047 - 8325047 - 8325214,8325633,8325057,8325047,8325047,8325214,,,,,
NECHI,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 30 NO. 30 - 40 BARRIO LA MISERICORDIA,94,8368035 - 8368178 - 8368028 - 8368101,8368035,8368178,8368028,8368101,,,,,,
DURANIA,NORTE DE SANTANDER,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,EDIF. FUENTES BARRIO CENTRO,97,5664381 - 5664270,5664381,5664270,,,,,,,,
ARAUCA,CALDAS,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA 4 NO 6A - 31,96,8713723 - 8713556,8713723,8713556,,,,,,,,
CARMEN DE ATRATO,CHOCÓ,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 5 NO. 5 - 15 PQRQUE PRINCIPAL.,94,6790383 - 6790016 - 6790382 - 6790384,6790383,6790016,6790382,6790384,,,,,,
CHIVOR,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO. 4 -02/06,98,7535123 - 7533158 - 7533158 - 7533004,7535123,7533158,7533158,7533004,,,,,,
SANTA BARBARA DE ISCUANDE,NARIÑO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,BARRIO LAS FLORES FRENTE AL PARQUE PRINCIPAL,92,7466061 - 7466040,7466061,7466040,,,,,,,,
ARMENIA,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 10 NO.8-04,94,8559378 - 8559023 - 8559379,8559378,8559023,8559379,,,,,,,
DOSQUEBRADAS,RISARALDA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA 16 NO. 27 - 08 LOCAL 01 CENTRO COMERCIAL YELLOW,96,3326221 - 3326224 - 3231244 - 3326220 - 3396688,3326221,3326224,3231244,3326220,3396688,,,,,
CARTAGENA DEL CHAIRA,CAQUETÁ,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA. 2 CALLE 3 CENTRO COMERCIAL EL PALMAR. LOCALES 219 Y20,98,4318294 - 4318118,4318294,4318118,,,,,,,,
SAN JUAN DE NEPOMUCENO,BOLÍVAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 10 Nº. 9-55 /   CALLE 9 NO. 10-55 BARRIO CENTRO.,95,6890475 - 6890210,6890475,6890210,,,,,,,,
SAN ESTANISLAO,BOLÍVAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 23 Nº. 19-29,95,6299090 - 6299230,6299090,6299230,,,,,,,,
OCAÑA,NORTE DE SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 12 NO. 11-02,97,5610052 - 5610192 - 5610052 - 5610130 - 5610155,5610052,5610192,5610052,5610130,5610155,,,,,
VILLAGOMEZ,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 NO. 3-47,91,3204985265,3204985,,,,,,,,,
CHITARAQUE,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 2 NO. 3 - 39,98,7290599 - 7290629,7290599,7290629,,,,,,,,
SAN GIL,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 12 NO. 9-77 SAN GIL,97,7242312 - 7242310 - 7242309,7242312,7242310,7242309,,,,,,,
INZA,CAUCA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,GALERÍA MUNICIPAL PARQUE PRINCIPAL PISO 2,92,8252508 -  -  - Celufijo 3204985271,8252508,,,,,3204985271,,,,
SAHAGUN,CÓRDOBA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 14 NO.11-29,94,7778324 - 7778840 - 7778434,7778324,7778840,7778434,,,,,,,
MIRAFLORES,GUAVIARE,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CALLE PRINCIPAL DEL MUNICIPIO DE MIRAFLORES,,3204985268 - 6769166 - 6769148,3204985268,6769166,6769148,,,,,,,
CHITAGA,NORTE DE SANTANDER,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA. 6 N° 3-67,97,5678023 - 5678567 - 5678392,5678023,5678567,5678392,,,,,,,
CUCUTA,NORTE DE SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 10 NO.5-50 EDIFICIO AGROBANCARIO,97,5731783 - 5835890 - 5711446 - 5713602 - 5730740,5731783,5835890,5711446,5713602,5730740,,,,,
FUNES,NARIÑO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 4 NO. 4 - 133 /137,92,7789061,7789061,,,,,,,,,
TUQUERRES,NARIÑO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 14 NO. 20-25,92,7280210 - 7280268 - 7280923 - 7282651 - 7732160,7280210,7280268,7280923,7282651,7732160,,,,,
SAN PELAYO,CÓRDOBA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 7 NO. 5 - 20 BARRIO BOCA GRANDE,94,7633038 - 7740014,7633038,7740014,,,,,,,,
NEIRA,CALDAS,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 10 NO. 9-42 PALACIO MUNICIPAL - PRIMER PISO,96,8787010 - 8587960 - 8587926 - 8587010 - 8588369,8787010,8587960,8587926,8587010,8588369,,,,,
CAQUEZA,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 5 NO. 2-18,91,8480944 - 8480087 - 8480087 - 8480326 - 8480390,8480944,8480087,8480087,8480326,8480390,,,,,
AMAGA,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 50 NO.50-70 EDIF DEL CAFÉ - PLAZA PRINCIPAL,94,8472171 - 8470359 - 8473108 - 8470225 - 8470296,8472171,8470359,8473108,8470225,8470296,,,,,
ZAPATOCA,SANTANDER,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CALLE 21 N° 9-20/26/38,97,6252511 - 6252030,6252511,6252030,,,,,,,,
LA TEBAIDA,QUINDIO,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 12 NO 5 - 71,96,7540421 - 7542250 - 7542482 - 7542440  - 7541493,7540421,7542250,7542482,7542440,7541493,,,,,
BOGOTA - PUENTE ARANDA,BOGOTÁ D.C,9:00 A.M. A 4:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 13 NO. 60 - 60,91,4146209 - 4146219 - 4146230 - 4146281 - 4146209,4146209,4146219,4146230,4146281,4146209,,,,,
PAILITAS - CESAR,CESAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 6 NO. NO. 5 – 86,95,5288281 - 5287004 - 5287712 - 5287286,5288281,5287004,5287712,5287286,,,,,,
PUERTO CARREÑO,VICHADA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 18 NO. 6 - 77 BARRIO CENTRO - SECTOR BANCARIO,98,5654187 - 5654178 - 5654007 - 5654181,5654187,5654178,5654007,5654181,,,,,,
HERRERA,TOLIMA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 3 NO. 6 -11 CASA DE LA JUSTICIA - CALLE PRINCIPAL,98,2244033 - 2244032 - 2244088,2244033,2244032,2244088,,,,,,,
MARULANDA,CALDAS,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 6 NO 5 - 23,96,8498564 - 8498612 - 8498590 - 8498550,8498564,8498612,8498590,8498550,,,,,,
TAMARA,CASANARE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 6 NO. 5-13 -  CALLE 25 NO. 28-40 INF.7,98,6361010 - 6361009,6361010,6361009,,,,,,,,
BUESACO,NARIÑO,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA 3 NO. 8 – 56 CENTRO - PARQUE PRINCIPAL,92,7420317 - 7420022 - 7420017 - 7420387 - 7420054,7420317,7420022,7420017,7420387,7420054,,,,,
LA VEGA,CAUCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 2 NO.8-05,92,8269579 -   8269743,8269579,8269743,,,,,,,,
PAJARITO,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA.3 NO.3-00 - CARRERA 2 NO. 4-71,98,7847134 - 7852325 - 7851721 - 7847008,7847134,7852325,7851721,7847008,,,,,,
SABANALARGA,CASANARE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 NO.7-10,98,6245038 - 6245116 - 6245115 - 6245116,6245038,6245116,6245115,6245116,,,,,,
EL AGUILA,VALLE DEL CAUCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CRA. 2 # 7-02/09 PLAZA PRINCIPAL EDIFICIO DEL CAFÉ,92,2066239 - 2066124 - 2066324,2066239,2066124,2066324,,,,,,,
CIENAGA DE ORO,CÓRDOBA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 7 N0.16-04,94,7760402 - 7760011,7760402,7760011,,,,,,,,
TESALIA,HUILA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA 9 NO 5 - 16/18,98,8377021 - 8377025 - 8377020,8377021,8377025,8377020,,,,,,,
MIRAFLORES,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 7 NO. 3 - 40,98,7330202 - 7330439 - 733 02 24,7330202,7330439,7330224,,,,,,,
PLATO,MAGDALENA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 CARRERA 12 ESQUINA ALCALDÍA MUNICIPAL,95,4850626 - 4850632 - 4850631,4850626,4850632,4850631,,,,,,,
CUBARA,BOYACÁ,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 4 NO.4-56/2-21,97,8838023 - 8838113 - 8836210 - 8838138,8838023,8838113,8836210,8838138,,,,,,
EL TABLON DE GOMEZ,NARIÑO,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 4 NO.3-24 CASA 4 ALCALDÍA MUNICIPAL,92,7265849,7265849,,,,,,,,,
AIPE,HUILA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 5 CRA 4-12 ESQUINA,98,8389383 - 8389442 - 8389034,8389383,8389442,8389034,,,,,,,
NARANJAL,VALLE DEL CAUCA,8:00 A.M  - 2:00 PM,MIERCOLES A DOMINGO,LUNES Y MARTES,CALLE 5 NO. 5 - 25,92,2299740 - 2299739,2299740,2299739,,,,,,,,
SARDINATA,NORTE DE SANTANDER,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CARRERA  6 N° 5-27 CENTRO,97,5665134 - 5665216,5665134,5665216,,,,,,,,
SEVILLA,VALLE DEL CAUCA,DE 8:00 - 11:30 AM Y DE 2:00 P.M. A 4:30 P.M.      DE 8:00 A 2:00 P.M.,MARTES A VIERNES Y SÁBADO,DOMINGO Y LUNES,CRA. 49 NO. 50 - 08,92,2199056 - 2197026 - 2197027 - 2198883 - 2198704,2199056,2197026,2197027,2198883,2198704,,,,,
SANTAFE DE ANTIOQUIA,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 9 NO. 10 -53/57,94,8531805 - 8531805 - 8531254 - 8531106 - 8531677,8531805,8531805,8531254,8531106,8531677,,,,,
FALAN,TOLIMA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 6 NO.3-60,98,2528082 - 2528091,2528082,2528091,,,,,,,,
URUMITA,LA GUAJIRA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 9  NO-11-25 ESQUINA,95,7778072 - 7778777 - 7778058,7778072,7778777,7778058,,,,,,,
LA PAZ,SANTANDER,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CRA. 4 N° 3-01,97,565745 - 7565744 - 9 518005  - 7518006 - 7518005,7565745,7565744,7518006,7518005,,,,,,
CISNEROS,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 20 NO.20-05,94,8631866 - 8631557,8631866,8631557,,,,,,,,
GUARNE,ANTIOQUIA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 50 NO. 50 -13/15,94,5513866 - 5511818 - 5510803 - 5510146 - 5745600,5513866,5511818,5510803,5510146,5745600,,,,,
PARATEBUENO,CUNDINAMARCA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 9 NO.2-38/58,98,6769097 - 6769148 - 6769162,6769097,6769148,6769162,,,,,,,
GUATAVITA,CUNDINAMARCA,8:00 A.M..  - 3:00 P.M.,LUNES A VIERNES,SABADO Y DOMINGO,PLAZA CIVICA -  GUATAVITA,91,8577145,8577145,,,,,,,,,
PUERTO GAITAN,META,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 8 NO.15-07,98,6460064 - 6460024,6460064,6460024,,,,,,,,
TARAZA,ANTIOQUIA,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 30 CRA. 29-05 ESQUINA,94,8366299 - 8365740,8366299,8365740,,,,,,,,
MARIA LA BAJA,BOLÍVAR,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CALLE 19 NO.12-36,95,6262070 - 6262169 - 6262126 - 6260445 - 311 4060610,6262070,6262169,6262126,6260445,,3114060610,,,,
TIMBIO,CAUCA,8:00 AM A 2:00 P.M.,MARTES A SABADO,DOMINGO Y LUNES,CALLE 18 NO.21-00 LOCAL 4 BARRIO SAN JUDAS,92,8278082 - 8278083,8278082,8278083,,,,,,,,
TAURAMENA,CASANARE,08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM,LUNES A VIERNES,SABADO Y DOMINGO,CARRERA 14 NO. 5-34 CARRERA 9A NO. 1A-39,98,6257316 - 6247175 - 6247029,6257316,6247175,6247029,,,,,,,
